Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
71;21101072017;"Machine Intelligence Research";journal;"2731538X, 27315398";"Chinese Academy of Sciences";No;No;1,271;Q1;54;74;168;5359;1321;165;10,46;72,42;31,19;0;7;China;Asiatic Region;"Chinese Academy of Sciences";"2022-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Systems Engineering (Q1); Modeling and Simulation (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
72;19900191735;"Topics in Cognitive Science";journal;"17568765, 17568757";"Wiley-Blackwell";No;No;1,252;Q1;79;88;164;6069;612;132;3,63;68,97;47,39;2;9;United States;Northern America;"Wiley-Blackwell";"2009-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Neuroscience; Psychology; Social Sciences"
73;21100784665;"IEEE Transactions on Cognitive and Developmental Systems";journal;"23798920, 23798939";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,249;Q1;62;227;435;11677;2589;426;5,48;51,44;28,01;0;22;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
74;23616;"AI and Society";journal;"09515666, 14355655";"Springer London";No;No;1,208;Q1;55;551;485;26690;3069;433;6,03;48,44;35,24;48;94;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
75;26803;"Journal of Pragmatics";journal;"03782166";"Elsevier B.V.";No;No;1,206;Q1;128;118;594;7067;1541;563;2,01;59,89;53,45;0;6;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
76;21100901156;"Journal of Reliable Intelligent Environments";journal;"21994668, 21994676";"Springer International Publishing AG";No;No;1,190;Q1;29;33;86;1778;695;74;6,67;53,88;22,43;0;9;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy"
77;21101153015;"Proceedings of Machine Learning Research";conference and proceedings;"26403498";"";No;No;1,170;-;125;4504;9976;229923;60729;9832;4,28;51,05;23,49;0;184;Netherlands;Western Europe;"";"2013, 2018-2024";"Artificial Intelligence; Control and Systems Engineering; Software; Statistics and Probability";"Computer Science; Engineering; Mathematics"
78;21101048344;"Granular Computing";journal;"23644974, 23644966";"Springer Nature";No;No;1,169;Q1;51;75;236;4494;1565;235;7,33;59,92;36,36;0;11;Switzerland;Western Europe;"Springer Nature";"2016-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
79;21100979314;"ACM Transactions on Human-Robot Interaction";journal;"25739522";"Association for Computing Machinery (ACM)";No;No;1,164;Q1;30;77;138;6684;918;136;6,45;86,81;41,46;0;12;United States;Northern America;"Association for Computing Machinery (ACM)";"2018-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1)";"Computer Science"
80;26801;"Computational Linguistics";journal;"08912017, 15309312";"";Yes;Yes;1,154;Q1;118;17;94;2281;1107;92;10,41;134,18;29,41;1;0;United States;Northern America;"";"1985, 1996-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
81;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,147;Q1;175;287;411;15391;2565;408;4,19;53,63;23,46;0;16;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
82;21101095931;"Complex and Intelligent Systems";journal;"21994536, 21986053";"Springer International Publishing AG";Yes;No;1,143;Q1;59;461;941;23533;7019;930;6,87;51,05;32,22;1;58;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Artificial Intelligence (Q1); Computational Mathematics (Q1); Engineering (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
83;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,141;Q1;117;94;950;4974;5598;948;5,36;52,91;31,69;0;24;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
84;21101167511;"Advanced Intelligent Systems";journal;"26404567";"John Wiley and Sons Inc";Yes;No;1,140;Q1;21;379;301;24865;1860;298;6,18;65,61;25,79;0;83;United States;Northern America;"John Wiley and Sons Inc";"2020, 2023-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Materials Science"
85;21100285028;"IEEE Transactions on Human-Machine Systems";journal;"21682291";"IEEE Systems, Man, and Cybernetics Society";No;No;1,132;Q1;143;74;294;3855;1740;293;5,53;52,09;26,67;0;11;United States;Northern America;"IEEE Systems, Man, and Cybernetics Society";"2013-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Social Sciences"
86;12874;"Cognitive Science";journal;"03640213, 15516709";"Wiley-Blackwell";No;No;1,126;Q1;141;122;428;8445;1218;383;2,53;69,22;45,07;0;7;United States;Northern America;"Wiley-Blackwell";"1977-2025";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience; Psychology"
87;21101039775;"Machine Learning: Science and Technology";journal;"26322153";"Institute of Physics Publishing";Yes;No;1,119;Q1;41;319;412;18453;2483;412;4,97;57,85;21,48;2;23;United Kingdom;Western Europe;"Institute of Physics Publishing";"2020-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
88;24800;"Neural Computing and Applications";journal;"09410643, 14333058";"Springer London";No;No;1,102;Q1;146;1375;3832;72689;26087;3781;6,52;52,86;28,05;1;315;United Kingdom;Western Europe;"Springer London";"1993-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
89;18016;"Autonomous Robots";journal;"15737527, 09295593";"Springer Netherlands";No;No;1,096;Q1;135;28;204;1225;1147;199;5,88;43,75;18,33;0;1;Netherlands;Western Europe;"Springer Netherlands";"1994-2025";"Artificial Intelligence (Q1)";"Computer Science"
90;21100940460;"Network Neuroscience";journal;"24721751";"";Yes;No;1,078;Q1;39;45;169;3598;591;167;3,03;79,96;33,20;0;3;United States;Northern America;"";"2017-2024";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q2)";"Computer Science; Mathematics; Neuroscience"
91;21101096774;"Intelligent Medicine";journal;"20969376, 26671026";"Chinese Medical Association";Yes;No;1,075;Q2;14;33;82;1456;513;68;7,50;44,12;36,43;0;12;China;Asiatic Region;"Chinese Medical Association";"2021-2025";"Biomedical Engineering (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering; Medicine"
92;25456;"Proceedings - IEEE International Conference on Robotics and Automation";conference and proceedings;"10504729";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,070;-;236;1762;3660;62084;17071;3654;4,55;35,23;20,66;0;196;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1984-1985, 1988-1989, 1991-2024";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
93;21101054787;"Quantum Machine Intelligence";journal;"25244914, 25244906";"Springer Science and Business Media Deutschland GmbH";No;No;1,059;Q2;23;88;103;4255;628;103;5,12;48,35;18,95;0;6;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2019-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
94;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";"Taylor and Francis Ltd.";No;No;1,049;Q2;27;25;61;613;282;60;3,07;24,52;34,78;3;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2024";"Biotechnology (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Law (Q1); Artificial Intelligence (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
95;21100836194;"ICT Express";journal;"24059595";"Korean Institute of Communications and Information Sciences";Yes;No;1,009;Q2;54;148;349;5810;2387;349;6,28;39,26;25,66;0;27;South Korea;Asiatic Region;"Korean Institute of Communications and Information Sciences";"2015-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
96;24825;"Pattern Recognition Letters";journal;"01678655";"Elsevier B.V.";No;No;1,005;Q2;188;297;934;9974;4922;907;4,54;33,58;29,76;0;12;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
97;145544;"Journal of Semantics";journal;"01675133, 14774593";"Oxford University Press";No;No;0,986;Q2;52;14;65;624;81;65;1,13;44,57;36,36;0;0;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2024";"Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
98;21101064700;"IACR Transactions on Cryptographic Hardware and Embedded Systems";journal;"25692925";"Ruhr-University of Bochum";Yes;Yes;0,985;Q2;48;81;247;3702;1202;247;3,40;45,70;18,03;0;2;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
99;25621;"Journal of Parallel and Distributed Computing";journal;"07437315, 10960848";"Academic Press Inc.";No;No;0,978;Q2;111;127;455;6019;2395;446;5,26;47,39;24,43;0;17;United States;Northern America;"Academic Press Inc.";"1984-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
100;21101070922;"IEEE Transactions on Biometrics, Behavior, and Identity Science";journal;"26376407";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,969;Q2;30;82;147;3940;931;137;5,33;48,05;28,94;0;6;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2025";"Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Instrumentation (Q1); Artificial Intelligence (Q2)";"Computer Science; Physics and Astronomy"
101;21101051831;"Intelligent Systems with Applications";journal;"26673053";"Elsevier B.V.";Yes;No;0,969;Q2;28;153;244;8343;1788;243;7,02;54,53;24,89;1;44;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Artificial Intelligence (Q2)";"Computer Science"
102;21101147569;"Biomimetic Intelligence and Robotics";journal;"26673797, 20970242";"Elsevier B.V.";Yes;No;0,964;Q2;13;40;64;1600;394;60;6,19;40,00;22,62;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
103;21101017244;"Drones";journal;"2504446X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,962;Q2;59;785;1282;38375;8081;1276;6,25;48,89;26,62;0;194;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Aerospace Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
104;21100301601;"ACM Transactions on Interactive Intelligent Systems";journal;"21606463, 21606455";"Association for Computing Machinery (ACM)";No;No;0,960;Q2;49;29;98;2505;638;93;5,61;86,38;36,55;0;4;United States;Northern America;"Association for Computing Machinery (ACM)";"2011-2024";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Computer Science"
105;21101060161;"IEEE Transactions on Medical Robotics and Bionics";journal;"25763202";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,933;Q2;30;191;298;8580;1463;292;4,46;44,92;23,93;0;28;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2025";"Computer Science Applications (Q1); Control and Optimization (Q1); Artificial Intelligence (Q2); Biomedical Engineering (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
106;23674;"Applied Intelligence";journal;"0924669X, 15737497";"Springer Netherlands";No;No;0,932;Q2;108;693;3294;36208;16543;3287;4,56;52,25;31,26;0;91;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q2)";"Computer Science"
107;21101062817;"Frontiers in Artificial Intelligence";journal;"26248212";"Frontiers Media SA";Yes;No;0,927;Q2;47;327;755;17734;4538;710;5,41;54,23;29,06;0;112;Switzerland;Western Europe;"Frontiers Media SA";"2018-2025";"Artificial Intelligence (Q2)";"Computer Science"
108;21101020112;"Big Data and Cognitive Computing";journal;"25042289";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,922;Q2;44;199;423;11010;3154;419;7,55;55,33;26,91;0;55;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Information Systems (Q1); Artificial Intelligence (Q2)";"Business, Management and Accounting; Computer Science"
109;21101111783;"Smart Agricultural Technology";journal;"27723755";"Elsevier B.V.";Yes;No;0,908;Q2;33;311;373;17213;3122;371;8,48;55,35;26,07;2;179;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Agricultural and Biological Sciences; Computer Science"
110;21101107176;"Artificial Intelligence in Geosciences";journal;"26665441";"KeAi Communications Co.";Yes;No;0,907;Q2;13;26;61;1274;268;61;4,05;49,00;21,21;0;7;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Computers in Earth Sciences (Q2); Control and Systems Engineering (Q2)";"Computer Science; Earth and Planetary Sciences; Engineering"
111;21101182803;"ACM Transactions on Evolutionary Learning and Optimization";journal;"26883007, 2688299X";"Association for Computing Machinery";No;No;0,899;Q2;12;27;47;1488;212;44;4,66;55,11;24,73;0;1;United States;Northern America;"Association for Computing Machinery";"2021-2024";"Computational Theory and Mathematics (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)";"Computer Science"
112;21101170600;"Psychoradiology";journal;"26344416";"Oxford University Press";Yes;Yes;0,891;Q2;8;28;64;1807;190;60;2,18;64,54;37,39;0;1;United Kingdom;Western Europe;"Oxford University Press";"2021-2024";"Radiology, Nuclear Medicine and Imaging (Q1); Artificial Intelligence (Q2); Clinical Psychology (Q2); Neurology (clinical) (Q2); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2); Psychology (miscellaneous) (Q2)";"Computer Science; Medicine; Neuroscience; Psychology"
